title,doi,year,abstract,oa_url,pdf_status,source,query,date
Agent-Q: Fine-Tuning Large Language Models for Quantum Circuit Generation and Optimization,10.48550/arxiv.2504.11109,2025,"Large language models (LLMs) have achieved remarkable outcomes in complex problems, including math, coding, and analyzing large amounts of scientific reports. Yet, few works have explored the potential of LLMs in quantum computing. The most challenging problem is to leverage LLMs to automatically generate quantum circuits at a large scale. Fundamentally, the existing pre-trained LLMs lack the knowledge of quantum circuits. In this paper, we address this challenge by fine-tuning LLMs and injecting the domain-specific knowledge of quantum computing. We describe Agent-Q, an LLM fine-tuning system to generate and optimize quantum circuits. In particular, Agent-Q implements the mechanisms to generate training data sets and constructs an end-to-end pipeline to fine-tune pre-trained LLMs to generate parameterized quantum circuits for various optimization problems. Agent-Q provides 14,000 quantum circuits covering a large spectrum of the quantum optimization landscape: 12 optimization problem instances and their optimized QAOA, VQE, and adaptive VQE circuits. Based thereon, Agent-Q fine-tunes LLMs and constructs syntactically correct parametrized quantum circuits in OpenQASM 3.0. We have evaluated the quality of the LLM-generated circuits and parameters by comparing them to the optimized expectation values and distributions. Experimental results show superior performance of Agent-Q, compared to several state-of-the-art LLMs and better parameters than random. Agent-Q can be integrated into an agentic workflow, and the generated parametrized circuits with initial parameters can be used as a starting point for further optimization, e.g., as templates in quantum machine learning and as benchmarks for compilers and hardware.",https://arxiv.org/pdf/2504.11109,oa,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
Aligning Large Language Model Agents with Rational and Moral Preferences: A Supervised Fine-Tuning Approach,10.2139/ssrn.5458954,2025,,https://doi.org/10.2139/ssrn.5458954,oa,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
Human Implicit Preference-Based Policy Fine-tuning for Multi-Agent Reinforcement Learning in USV Swarm,10.1109/iros60139.2025.11246039,2025,"Multi-Agent Reinforcement Learning (MARL) has shown promise in solving complex problems involving cooperation and competition among agents, such as an Unmanned Surface Vehicle (USV) swarm used in search and rescue, surveillance, and vessel protection. However, aligning system behavior with user preferences is challenging due to the difficulty of encoding expert intuition into reward functions. To address the issue, we propose a Reinforcement Learning with Human Feedback (RLHF) approach for MARL that resolves credit-assignment challenges through an Agent-Level Feedback system categorizing feedback into intra-agent, inter-agent, and intra-team types. To overcome the challenges of direct human feedback, we employ a Large Language Model (LLM) evaluator to validate our approach using feedback scenarios such as region constraints, collision avoidance, and task allocation. Our method effectively refines USV swarm policies, addressing key challenges in multi-agent systems while maintaining fairness and performance consistency.",,none,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
Fine-Tuning Frameworks for Domain-Specialized LLM Agents,10.13140/rg.2.2.25790.34880,2026,,https://doi.org/10.13140/rg.2.2.25790.34880,oa,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
LLM-AutoDP: Automatic Data Processing via LLM Agents for Model Fine-tuning,10.48550/arxiv.2601.20375,2026,"Large Language Models (LLMs) can be fine-tuned on domain-specific data to enhance their performance in specialized fields. However, such data often contains numerous low-quality samples, necessitating effective data processing (DP). In practice, DP strategies are typically developed through iterative manual analysis and trial-and-error adjustment. These processes inevitably incur high labor costs and may lead to privacy issues in high-privacy domains like healthcare due to direct human access to sensitive data. Thus, achieving automated data processing without exposing the raw data has become a critical challenge. To address this challenge, we propose LLM-AutoDP, a novel framework that leverages LLMs as agents to automatically generate and optimize data processing strategies. Our method generates multiple candidate strategies and iteratively refines them using feedback signals and comparative evaluations. This iterative in-context learning mechanism enables the agent to converge toward high-quality processing pipelines without requiring direct human intervention or access to the underlying data. To further accelerate strategy search, we introduce three key techniques: Distribution Preserving Sampling, which reduces data volume while maintaining distributional integrity; Processing Target Selection, which uses a binary classifier to identify low-quality samples for focused processing; Cache-and-Reuse Mechanism}, which minimizes redundant computations by reusing prior processing results. Results show that models trained on data processed by our framework achieve over 80% win rates against models trained on unprocessed data. Compared to AutoML baselines based on LLM agents, LLM-AutoDP achieves approximately a 65% win rate. Moreover, our acceleration techniques reduce the total searching time by up to 10 times, demonstrating both effectiveness and efficiency.",,none,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
LLM-AutoDP: Automatic Data Processing via LLM Agents for Model Fine-tuning,10.14778/3796195.3796196,2026,"Large Language Models (LLMs) can be fine-tuned on domain-specific data to enhance their performance in specialized fields. However, such data often contains numerous low-quality samples, necessitating effective data processing (DP). In practice, DP strategies are typically developed through iterative manual analysis and trial-and-error adjustment. These processes inevitably incur high labor costs and may lead to privacy issues in high-privacy domains like healthcare due to direct human access to sensitive data. Thus, achieving automated data processing without exposing the raw data has become a critical challenge. To address this challenge, we propose LLM-AutoDP , a novel framework that leverages LLMs as agents to automatically generate and optimize data processing strategies. Starting from an initial prompt, our method generates multiple candidate strategies and iteratively refines them using feedback signals and comparative evaluations. This iterative in-context learning mechanism enables the agent to converge toward high-quality processing pipelines without requiring direct human intervention or access to the underlying data. To further accelerate strategy search, we introduce three key techniques: (1) Distribution Preserving Sampling , which reduces data volume while maintaining distributional integrity; (2) Processing Target Selection , which uses a binary classifier to identify low-quality samples for focused processing; and (3) Cache-and-Reuse Mechanism , which minimizes redundant computations by reusing prior processing results. We evaluate LLM-AutoDP on five medical datasets across three model architectures. Results show that models trained on data processed by our framework achieve over 80% win rates against models trained on unprocessed data. Compared to AutoML baselines based on LLM agents, LLM-AutoDP achieves approximately a 65% win rate. Moreover, our acceleration techniques reduce the total searching time by up to 10×, demonstrating both effectiveness and efficiency.",,none,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
LLM-AutoDP: Automatic Data Processing via LLM Agents for Model Fine-tuning,,2026,"Large Language Models (LLMs) can be fine-tuned on domain-specific data to enhance their performance in specialized fields. However, such data often contains numerous low-quality samples, necessitating effective data processing (DP). In practice, DP strategies are typically developed through iterative manual analysis and trial-and-error adjustment. These processes inevitably incur high labor costs and may lead to privacy issues in high-privacy domains like healthcare due to direct human access to sensitive data. Thus, achieving automated data processing without exposing the raw data has become a critical challenge. To address this challenge, we propose LLM-AutoDP, a novel framework that leverages LLMs as agents to automatically generate and optimize data processing strategies. Our method generates multiple candidate strategies and iteratively refines them using feedback signals and comparative evaluations. This iterative in-context learning mechanism enables the agent to converge toward high-quality processing pipelines without requiring direct human intervention or access to the underlying data. To further accelerate strategy search, we introduce three key techniques: Distribution Preserving Sampling, which reduces data volume while maintaining distributional integrity; Processing Target Selection, which uses a binary classifier to identify low-quality samples for focused processing; Cache-and-Reuse Mechanism}, which minimizes redundant computations by reusing prior processing results. Results show that models trained on data processed by our framework achieve over 80% win rates against models trained on unprocessed data. Compared to AutoML baselines based on LLM agents, LLM-AutoDP achieves approximately a 65% win rate. Moreover, our acceleration techniques reduce the total searching time by up to 10 times, demonstrating both effectiveness and efficiency.",https://arxiv.org/pdf/2601.20375,oa,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
FinGPT Agents: Reinforcement-Fine-Tuned LLMs for Financial Analytics,10.1109/cscloud66326.2025.00066,2025,"This paper presents our submission for FinAI Contest 2025 Task 2, focusing on the development and evaluation of FinGPT agents for real-world financial analytics. We fine-tune meta-llama/Llama-2-7b-chat-hf using Supervised Fine Tuning approach to enhance its domain specialization across financial question answering using CFA-style reasoning. The fine-tuned agents are benchmarked against the base model, Llama-2-7b-chat-hf. Experimental results demonstrate that supervised fine-tuning and reinforcement fine-tuning not only boost accuracy in financial reasoning but also improve interpretability, enabling more reliable and explainable decision support. This paper presents a pipeline for extracting structured question answer facts from Hugging Face, 1rsh/finance-exam-data-generated, specifically created for training financial reasoning models. The objective is to evaluate improvements in financial question answering, reasoning, and interpretability. While results are work in progress, the proposed methodology outlines a scalable foundation for incorporating question answer sets into financial AI research. Evaluation metrics including BLEU, ROUGE-L, factual accuracy, and domain coherence are proposed for assessing model quality. Preliminary analysis shows improved precision in CFA-style reasoning and numerical QA by the fine-tuned model, demonstrating the potential of fine-tuning in achieving cost-effective specialization for financial analytics. https://github.com/SatishChandraPhD/FinAI2025",,none,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
Hackphyr: A Local Fine-Tuned LLM Agent for Network Security Environments,10.48550/arxiv.2409.11276,2024,"Large Language Models (LLMs) have shown remarkable potential across various domains, including cybersecurity. Using commercial cloud-based LLMs may be undesirable due to privacy concerns, costs, and network connectivity constraints. In this paper, we present Hackphyr, a locally fine-tuned LLM to be used as a red-team agent within network security environments. Our fine-tuned 7 billion parameter model can run on a single GPU card and achieves performance comparable with much larger and more powerful commercial models such as GPT-4. Hackphyr clearly outperforms other models, including GPT-3.5-turbo, and baselines, such as Q-learning agents in complex, previously unseen scenarios. To achieve this performance, we generated a new task-specific cybersecurity dataset to enhance the base model's capabilities. Finally, we conducted a comprehensive analysis of the agents' behaviors that provides insights into the planning abilities and potential shortcomings of such agents, contributing to the broader understanding of LLM-based agents in cybersecurity contexts",https://arxiv.org/pdf/2409.11276,oa,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
Agent Fine-Tuning Through Distillation for Domain-Specific LLMs in Microdomains,10.1109/aixb65684.2025.00025,2025,"Agentic large language models (LLMs) have become prominent for autonomously interacting with external environments and performing multi-step reasoning tasks. Most approaches leverage these capabilities via in-context learning with few-shot prompts, but this often results in lengthy inputs and higher computational costs. Agent fine-tuning offers an alternative by enabling LLMs to internalize procedural reasoning and domain-specific knowledge through training on relevant data and demonstration trajectories. While prior studies have focused on general domains, their effectiveness in specialized technical microdomains remains unclear. This paper explores agent fine-tuning for domain adaptation within Hitachi's JP1 middleware, a microdomain for specialized IT operations. We fine-tuned LLMs using JP1-specific datasets derived from domain manuals and distilled reasoning trajectories generated by LLMs themselves, enhancing decision making accuracy and search efficiency. During inference, we used an agentic prompt with retrieval-augmented generation and introduced a context-answer extractor to improve information relevance. On JP1 certification exam questions, our method achieved a 14% performance improvement over the base model, demonstrating the potential of agent fine-tuning for domain-specific reasoning in complex microdomains.",https://arxiv.org/pdf/2510.00482,oa,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
LipoAgent: Coordinating Fine-Tuned LLM Agents for Safer Lipid Design,10.48550/arxiv.2605.25250,2026,"Lipid nanoparticles (LNPs) are among the most clinically mature platforms for nucleic acid delivery, yet designing lipids that are both effective and biologically safe remains a major bottleneck. In practical screening, toxicity is a decision-level constraint: if a lipid is toxic, its efficiency prediction is clinically irrelevant. We propose LipoAgent, a safety-aware multi-agent LLM framework for lipid discovery. LipoAgent combines domain-specific finetuning with a conditional prediction objective that enforces toxicity as a prerequisite for efficiency prediction, and further improves reliability via multi-agent verification with lightweight human oversight when disagreement persists. Across multiple foundation models, LipoAgent achieves an average 32% relative improvement in mRNA transfection efficiency prediction compared with other reported models for lipid design. Wet-lab validation confirms that virtual screening rankings reliably translate to biological transfection outcomes. The code is publicly available at https://github.com/SAI-Lab-NYU/LipoAgent.git.",https://doi.org/10.48550/arxiv.2605.25250,oa,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
TeamTR: Trust-Region Fine-Tuning for Multi-Agent LLM Coordination,,2026,"Multi-agent LLM systems have shown promise for complex reasoning, yet recent evaluations reveal they often underperform single-model baselines. We identify a structural failure mode in sequential fine-tuning of shared-context teams: updating one agent shifts the team's context distribution, and when subsequent updates are evaluated on cached rollouts, this mismatch compounds. We formalize this as the compounding occupancy shift and prove that stale-occupancy evaluation incurs a penalty that scales quadratically with the number of agents. In contrast, intermediate-occupancy evaluation reduces this to linear scaling. We propose TeamTR, a trust-region framework that resamples trajectories after each component update and enforces per-agent divergence control, yielding rigorous per-update and per-stage improvement lower bounds. Experiments show that TeamTR outperforms single-agent and sequential baselines with 7.1% on average, mitigates coordination regressions, and supports plug-and-play component replacement. Code is available at https://github.com/Yydc/TeamTR.",https://arxiv.org/pdf/2605.15207,oa,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
FT-Dojo: Towards Autonomous LLM Fine-Tuning with Language Agents,10.48550/arxiv.2603.01712,2026,"Fine-tuning large language models for vertical domains remains labor-intensive, requiring practitioners to curate data, configure training, and iteratively diagnose model behavior. Despite growing interest in autonomous machine learning and language agents, end-to-end LLM fine-tuning has not been systematically studied as an interactive agent task. We introduce FT-Dojo, an interactive benchmark environment for autonomous LLM fine-tuning, comprising 13 tasks across 5 domains. Rather than a new collection of static datasets, FT-Dojo standardizes a task interface, shared raw-data repository, sandboxed execution environment, structured feedback protocol, and held-out evaluation procedure. We further develop FT-Agent, a fine-tuning-oriented autonomous framework that uses structured iteration planning, fail-fast validation, and multi-level feedback analysis to refine data and training strategies. Experiments show that FT-Agent provides a strong initial baseline, achieving the best performance on 10 out of 13 tasks, with additional controlled comparisons against frontier agents, open-source planning backbones, and multi-run statistics supporting the main findings. Case studies show that agents can recover from failures through cumulative learning, while still exposing limitations in causal diagnosis and long-horizon planning. The implementation is available at https://github.com/microsoft/rd-agent.",https://doi.org/10.48550/arxiv.2603.01712,oa,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
FT-Dojo: Towards Autonomous LLM Fine-Tuning with Language Agents,,2026,"Fine-tuning large language models for vertical domains remains labor-intensive, requiring practitioners to curate data, configure training, and iteratively diagnose model behavior. Despite growing interest in autonomous machine learning and language agents, end-to-end LLM fine-tuning has not been systematically studied as an interactive agent task. We introduce FT-Dojo, an interactive benchmark environment for autonomous LLM fine-tuning, comprising 13 tasks across 5 domains. Rather than a new collection of static datasets, FT-Dojo standardizes a task interface, shared raw-data repository, sandboxed execution environment, structured feedback protocol, and held-out evaluation procedure. We further develop FT-Agent, a fine-tuning-oriented autonomous framework that uses structured iteration planning, fail-fast validation, and multi-level feedback analysis to refine data and training strategies. Experiments show that FT-Agent provides a strong initial baseline, achieving the best performance on 10 out of 13 tasks, with additional controlled comparisons against frontier agents, open-source planning backbones, and multi-run statistics supporting the main findings. Case studies show that agents can recover from failures through cumulative learning, while still exposing limitations in causal diagnosis and long-horizon planning. The implementation is available at https://github.com/microsoft/rd-agent.",https://arxiv.org/pdf/2603.01712,oa,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
LipoAgent: Coordinating Fine-Tuned LLM Agents for Safer Lipid Design,,2026,"Lipid nanoparticles (LNPs) are among the most clinically mature platforms for nucleic acid delivery, yet designing lipids that are both effective and biologically safe remains a major bottleneck. In practical screening, toxicity is a decision-level constraint: if a lipid is toxic, its efficiency prediction is clinically irrelevant. We propose LipoAgent, a safety-aware multi-agent LLM framework for lipid discovery. LipoAgent combines domain-specific finetuning with a conditional prediction objective that enforces toxicity as a prerequisite for efficiency prediction, and further improves reliability via multi-agent verification with lightweight human oversight when disagreement persists. Across multiple foundation models, LipoAgent achieves an average 32% relative improvement in mRNA transfection efficiency prediction compared with other reported models for lipid design. Wet-lab validation confirms that virtual screening rankings reliably translate to biological transfection outcomes. The code is publicly available at https://github.com/SAI-Lab-NYU/LipoAgent.git.",https://arxiv.org/pdf/2605.25250,oa,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
TeamTR: Trust-Region Fine-Tuning for Multi-Agent LLM Coordination,10.48550/arxiv.2605.15207,2026,"Multi-agent LLM systems have shown promise for complex reasoning, yet recent evaluations reveal they often underperform single-model baselines. We identify a structural failure mode in sequential fine-tuning of shared-context teams: updating one agent shifts the team's context distribution, and when subsequent updates are evaluated on cached rollouts, this mismatch compounds. We formalize this as the compounding occupancy shift and prove that stale-occupancy evaluation incurs a penalty that scales quadratically with the number of agents. In contrast, intermediate-occupancy evaluation reduces this to linear scaling. We propose TeamTR, a trust-region framework that resamples trajectories after each component update and enforces per-agent divergence control, yielding rigorous per-update and per-stage improvement lower bounds. Experiments show that TeamTR outperforms single-agent and sequential baselines with 7.1% on average, mitigates coordination regressions, and supports plug-and-play component replacement. Code is available at https://github.com/Yydc/TeamTR.",https://doi.org/10.48550/arxiv.2605.15207,oa,openalex,"title.search:fine-tuning,title_and_abstract.search:LLM,title.search:agent,from_publication_date:2022-01-01",2026-07-03
